id;country_name;created_date;language
1;content backing up Usability;2020-03-07T19:28:27;SPANISH
2;Somali Shilling integrate actuating;2020-03-07T21:01:33;FRENCH
3;Uganda;2020-03-07T14:27:47;ENGLISH
4;Bahamian Dollar overriding Savings Account;2020-03-07T14:18:09;ENGLISH
5;Fresh;2020-03-07T18:09:14;FRENCH
6;recontextualize;2020-03-07T00:12:11;SPANISH
7;Refined Rubber Fish;2020-03-07T15:54:31;SPANISH
8;Soap maximized transmitter;2020-03-07T10:37:29;ENGLISH
9;scalable Handcrafted Fresh Pizza focus group;2020-03-07T08:54:26;SPANISH
10;microchip PCI robust;2020-03-07T19:59:45;ENGLISH
