id;start_date;end_date;language
1;2020-03-07T18:20:00;2020-03-07T16:10:15;SPANISH
2;2020-03-06T23:10:11;2020-03-07T18:14:36;SPANISH
3;2020-03-07T14:05:30;2020-03-07T00:39:39;FRENCH
4;2020-03-07T05:23:01;2020-03-07T16:54:27;FRENCH
5;2020-03-07T14:53:19;2020-03-07T19:40:18;FRENCH
6;2020-03-07T08:45:40;2020-03-07T20:53:54;FRENCH
7;2020-03-07T10:31:00;2020-03-07T04:21:51;FRENCH
8;2020-03-07T09:27:13;2020-03-07T19:43:21;SPANISH
9;2020-03-07T08:08:22;2020-03-07T04:49:45;SPANISH
10;2020-03-07T16:20:26;2020-03-07T02:54:56;SPANISH
